genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766
MPB:bin_000100,4.194112927582635,2.8582559279291297,3.6923443229551727,0,0,0,0,2.2571712331686093,0,0,4.841381457167157,0,4.671098832480068,10.954138571886507,0,0,0,3.15254469687284,4.88372049932276,0,0,3.653850073467966,0,0,0,1.406406628978434,1.3221454498963296,2.2931177284779625,3.6494030843575307,0,36.47091576476169,1.0273934529202822,1.2573861709756138,1.0749206490380607,0,0,3.608546371905405,3.9412367447298546,2.410777648691566,0,4.8874726463846905,0,0,0,0,0,0,0,0.6239218367547356,0,0,0,5.35829761845204,10.079054495998637,2.385717012142133,0,0,1.543151544124323,1.7222818242290496,1.5447728422375027,0.9644407633256808,0,0,3.076667945176036,1.938007118888401,2.378444332034442,1.9969297246016702,0,1.9684412006129435,1.683463315119207,0,0,1.808720175063138,3.0166799149883916
TM3:bin_000108,5.961859852316259,4.769625055481834,16.04622816612249,9.018529217819639,0,0,0,0,0,0,0,0,0,0.6394250726611979,0,0,0,10.856998778174892,6.190988803039245,12.050556320715863,0,0,0,0,0,0,3.594634943414245,0,0,0,0,0,0,0,0,0,17.09506753025087,1.3041782760736857,1.7198633620015331,0,2.8567388014878765,0,0,0,0,0,0,0,0,0,0,0,0,0,5.293138411784129,16.030355217643926,1.4156318494957074,0,1.0210127137091651,0,0,0,1.1941944201033832,0,0,1.884667678920953,2.285018712769199,0,2.823866121151096,0,5.378480005147277,2.3743775338337123,1.84361357143627,3.2221105599852113
D300763:bin_000022,8.05968804189195,7.771454753662294,68.62482533191475,25.47792126079905,0,0,0,2.726654226018604,0,0,0,0,6.211499159711579,6.441897629069523,0.9306553259365065,33.94324529258576,5.3940376659161124,18.975217846134953,40.19524863195235,37.74633027840929,0,3.2942079023093322,0,0,0,0,2.8675275647943086,0,1.4672614321974227,0,5.818836391173324,0,0,0,0,0,47.413410349593654,12.618091800891092,22.34464072264474,0,28.044687961015637,0,0,0,0,0,0,0,0,0,0,0,0.7148145935205856,0,26.83793079430116,250.9660758514213,10.010721888795395,2.946159150726055,2.569292021931016,6.047303732161408,20.3698391419584,0.7308578138240402,23.11837948950209,12.154819056572817,3.1691302032768442,40.4868985319133,84.37005767306624,19.068753781793056,38.2207441479383,28.864575744301437,23.70222396665651,29.58548081960389,67.56889424249756,20.93288685205279
MPB:bin_000107,16.3707149300857,0,0,0,0,0,0,1.153191249436175,0,0,0,0,0,0,0,0,0,0,3.892365809652684,0,0.7697902571041949,3.9330739738385203,0,0,0,0,2.4192602616147947,0,0,0,0,0,0,0,0,0,2.2955570590888588,1.7987144790257104,1.71617050067659,0,3.069124943617501,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9859607577807847,0,0,0.6064501578709969,0,0,0,0,0.872406405051872,0,0,1.0871109607577807,0,0,0,0,0,0,0,2.8699255751014885
MPB:bin_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4546124901921136,13.403366982742533,0,0,0,1.123997376431017,0,0,0,0,0,4.363344578065583,0,2.047800970056066,8.680397750499836,0,0,2.4693681190687107,2.0984139450945256,0,2.4692902529532668,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2620150660551235,0,0,3.4091731994174577,10.388507791932396,13.627738194393794,2.3011383766524163,3.008785633805522,0,8.146547663017255,9.740038782516566,0,4.026924026290715,0,7.888771887840608,9.752185896525795,7.837535983878599,1.6018227938517953,0,0
TM4:bin_000204,0,0.8352412213263003,1.0850366418738957,0,0,0,0,0,0,0,0,0,1.373728219455115,0.6443275460368921,0,0,0,1.1231021020864498,1.0376869230729138,2.775260350156627,0.7944393480561043,1.560488410639174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9037981413240069,1.0643669503849222,0.7373655899967163,0,1.2836220466284785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7155720145733542,1.7895652751789093,0,0,1.0536167562299004,0.9236371359919107,0,0,0.8564972870419114,1.7684069385010712,0,1.4016787242581714,1.2337313728454005,0.8405185893660383,0.6991535362275028,0.5176218485642953,0,0,0,0.922513252057522
D300693:bin_000013,28.661683645214882,9.063051373523768,13.579645704277048,10.953980836349118,0,0,0,1.314200806212732,0,0,0,0,2.275200587273172,0.6837836619573197,0,7.047117081149303,9.92428071915206,6.820772212706221,4.8771604183033475,19.51182112637964,1.1285046428065475,3.491200561515577,0,0,0,1.1470581606501216,2.2814387548778443,0.6739635787602869,0.861068360657849,0,2.3071158576635287,1.7274492253403222,0,4.253061934137829,1.897570092856131,0,6.919455999587878,3.633994230298659,8.5786475974603,0,6.3966975543163285,0,0,0,0,0,0,0,0,0,0,0,0,0,13.27860380954834,13.696078084150063,1.4922501835228663,2.0677312066145506,5.849147423596532,4.5168358082089455,1.5117696111890992,0,2.163396525300398,4.09211720993728,3.8305568792097566,11.757778793771813,8.577520702667199,7.5224252063827315,4.852489471582933,2.8594150450113975,2.3247034656844434,3.6117783043775034,8.777101819774106,9.069490772341494
D300714:bin_000008,6.001266832798912,22.213079490408692,77.4722591901202,17.74667512214293,0,0,0,1.5698455089214207,0,0,0,0,2.0194520613200666,0.5714517516829077,0,9.86045486889546,2.344273350065649,4.708754990666226,9.247470056002644,28.956098512252996,22.0767944813131,42.88590019560732,0,0,0.7941151076137991,3.1498137711126395,1.1940010777754952,6.050466390970504,0,0,1.5731205173322378,1.9144284961459106,0.8982082726712457,4.525466167674476,1.8652289379743179,0,6.216784715833475,6.600816668006443,0.908144945917702,0,1.1695501627083724,0,0,0,0,0,0,0,0.5871196896482939,0,0,0,0,0,1.6892344518975697,9.044977774602012,0,3.6254343107744798,0,0.5383667235327219,0,0,0.80073955644477,1.567091524575961,1.0833578958964145,2.0579706261518353,4.492530003542964,0,1.8708485546792426,1.5905003915123692,1.1731601151612048,2.2307645358271033,1.5703293169821095,0
TM2:bin_000186,0.7463679889757553,0,1.6267709846263463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0849563688893937,0,0.9701511527304189,0,6.560228158019394,0,0,0,0,3.8512431636763664,0,0.7148044331870481,0,0.6409603933650959,0,0,1.754297537161805,4.662255272337211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913927896115285,1.540399393979729,0,0.819086506653304,1.6642068298641153,0,1.561001342796854,2.1404984399284364
TM4:bin_000039,3.317137275437042,0.6918150326270845,1.9976033191009426,2.1147184403448,0,0,0,0,0,0,0,0,0,0,0,1.3203395633609925,2.360478933376299,0,2.6888644968984132,5.69332554579876,0.6531458954322082,1.4730020945782647,0,0,0,0,0.6421191492789817,0,0,0,0,0,0,2.4650064448561992,0.6568718279223396,0,1.488207927173125,1.3476295013292516,1.408905985660195,0,4.060007653266736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5784258438733586,0.6612523161201966,0,0,1.0383267542092967,0,0,0,1.4149480383468944,0,0,0.9771509707564651,1.451804559735761,1.457947313300572,0,0,0,1.0090227986788045,3.519797792636752,0.8762486908885846
D300708:bin_000028,19.88802612331138,3.9191011835033054,2.567770358386463,0,0,0,0,0.5393326763653655,0,0,0,0,2.5519609687869953,1.2848848905943742,1.9324653875113884,25.20760673430399,11.661703241637841,2.642120987708665,53.73374384015034,6.128463380028897,12.513410857206804,24.3598979643396,0,0,0,3.443610542196966,0,0,0,0,0,1.387273937353279,0,4.499352280008469,3.855910123310139,0,8.509357453708713,11.769486080142446,3.6263484866849294,0,5.664039311442186,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8206275955685354,21.749674745058094,2.2364241516635044,6.1220931259844065,0,0.7961422609473049,1.0359800008121687,0,4.2402642833960185,1.5033799544999569,1.633156443829704,4.719428282873999,1.337613854729069,2.657139907828159,0,1.1478081831260496,0.8607747654863046,0,5.533053868790127,8.561342446568139
00:bin_000167,4.9291612673872685,0.6022567913168934,2.188201076921438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6852295340910174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9156439576386229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300764:bin_000008,0,2.139138191406953,4.451326671935274,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6093770784266164,5.553994100202659,5.152823530332313,44.86021236140562,0,0,0,0,0,0,2.0026603860689667,0,0,0,0,4.356726473188785,0,0,0,0,2.850400231610081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.859938498133817,0,14.722466960352422,0,1.1624791668296806,8.185757544933137,13.137033356546505,27.42715628203222,15.694102550058293,10.870525269755323,10.120718930211813,74.48171767044076,12.087698844296993,17.067612929476294
